"name","segment","what_they_do","town","district","province","ownership","parent","scale","pacra_number","pacra_status","isic","ncc_grade","officeholder","confidence","evidence","lat","lng","coord_basis","notes","sources"
"Sandvik Mining and Construction Zambia Limited","equipment_dealer","Sandvik's Zambian sales and service company for underground and surface mining equipment, rock tools and crushing/screening plant","Kitwe","Kitwe","Copperbelt","Foreign-owned subsidiary (Swedish parent)","Sandvik AB (Sweden)","PACRA registration 1993","119930030550","Active","Freight transport by road",,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","Three older Sandvik entities on PACRA are Inactive: SANDVIK ZAMBIA LIMITED (119220000285, 1922), SANDVIK (ZAMBIA) LIMITED (119640002857, 1964) and SANDVIK TAMROCK ZAMBIA LIMITED (119930030551, 1993).","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SANDVIK&SortyBy=entity%20name&Direction=ASC | https://duckduckgo.com/?q=%22Sandvik+Mining+and+Construction+Zambia%22+Kitwe+contact+address"
"Sino-Africa Yingtuo Geological Equipment Limited","equipment_dealer","Supplier of geological and drilling equipment; PACRA ISIC 'Wholesale of other machinery and equipment'",,,,"Chinese-linked",,"Incorporated 2026","120261045144","Active","Wholesale of other machinery and equipment",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=GEOLOG&SortyBy=entity%20name&Direction=ASC"
"Tata Zambia Limited","equipment_dealer","Long-established Tata group company in Zambia; supplies commercial vehicles including tippers and haulage trucks used by mining and civils contractors",,,,"Foreign-owned subsidiary (Indian parent)","Tata Group (India)","PACRA registration 06/10/1977","119770009055","Active","Other manufacturing n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=TATA%20ZAMBIA&SortyBy=entity%20name&Direction=ASC"
"Weir Minerals Central Africa Limited","equipment_dealer","Weir Minerals' regional company supplying slurry pumps, hydrocyclones, valves, screens and wear-resistant linings to concentrators",,,,"Foreign-owned subsidiary (UK parent)","The Weir Group PLC (UK)","PACRA registration 28/05/2001","120010047337","Active","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,,"high","non-registry source evidences operations",,,,"Several older Weir entities are Inactive on PACRA: WEIR MINERALZAMBIA LIMITED (120010048108), WEIR-ENVIROTECH LIMITED (119970039143), WEIR MINERALS AFRICA (320100163731).","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=WEIR&SortyBy=entity%20name&Direction=ASC"
"XCMG Equipment Zambia Limited","equipment_dealer","Zambian distribution entity for XCMG Chinese construction and mining machinery. PACRA nature of business 'Wholesale of other machinery and equipment'",,,,"Chinese-linked","XCMG Group (China)","Recently incorporated (29/03/2025)","120251023032","Active","Wholesale of other machinery and equipment",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=XCMG&SortyBy=entity%20name&Direction=ASC"
"Zambian Earthmoving and Mining Equipments Limited","equipment_dealer","Earthmoving and mining equipment supplier; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2021","120210013234","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EARTHMOVING&SortyBy=entity%20name&Direction=ASC"
"Zamlin Mining Equipment Limited","equipment_dealer","Mining equipment manufacturer/supplier; PACRA ISIC 'Manufacture of other general-purpose machinery' - one of few in this set classified as a machinery manufacturer rather than a trader",,,,,,"Incorporated 2024","120241017826","Active","Manufacture of other general-purpose machinery",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINE%20VENTILATION&SortyBy=entity%20name&Direction=ASC"
"AECI Mining Explosives PLC","explosives","Manufactures and supplies commercial explosives, initiating systems and blasting services (AEL Intelligent Blasting) to underground and surface mines in Zambia; PACRA nature of business 'Other manufacturing n.e.c.'","Kitwe","Kitwe","Copperbelt","Foreign-owned subsidiary (South African parent)","AECI Ltd (South Africa)","Long-established; PACRA registration dates to 1963","119630002736","Active","Other manufacturing n.e.c.",,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","Formerly AEL Mining Services / African Explosives Zambia. Listed in the Zambian Mining Online mining directory as a Zambian-address supplier.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC | https://zambianmining.com/mining-directory/"
"Amadwala Drilling and Blasting Limited","explosives","Drilling and blasting contractor; PACRA ISIC 'Other mining and quarrying n.e.c.'",,,,,,"Incorporated 2024","120241015749","Active","Other mining and quarrying n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BLASTING&SortyBy=entity%20name&Direction=ASC"
"Balaji Explosives Limited","explosives","Explosives company; PACRA nature of business 'Other manufacturing n.e.c.'",,,,,,"PACRA registration 2021","120210021730","Active","Other manufacturing n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"Blastmat Explosives Limited","explosives","Explosives manufacturer/supplier; PACRA nature of business 'Manufacture of other chemical products n.e.c.'",,,,,,"PACRA registration 2017","120170003777","Active","Manufacture of other chemical products n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"Bulk Mining Explosives Zambia Limited","explosives","Bulk emulsion explosives manufacture and blasting services to Zambian open-pit and underground mines; trades as BME. PACRA nature of business 'Other manufacturing n.e.c.'",,,,"Foreign-owned subsidiary (South African parent)","Omnia Holdings Ltd (South Africa), Mining division",,"120020049582","Active","Other manufacturing n.e.c.",,,"high","non-registry source evidences operations",,,,"A separate PACRA business name 'BULK MINING EXPLOSIVES' (320000093780, Active, ISIC 'Support activities for other mining and quarrying') is also on the register.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"Dynamic Explosives and Mining Contractors Limited","explosives","Explosives supply and mining contracting; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2023","120230058437","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"Kirin Blasting Technology Company Limited","explosives","Blasting technology and services contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,"Chinese-associated name",,"PACRA registration 2018","120180010580","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BLASTING&SortyBy=entity%20name&Direction=ASC"
"KW Blasting Zambia Limited","explosives","Blasting contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,,,"PACRA registration 2023","120230058829","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BLASTING&SortyBy=entity%20name&Direction=ASC"
"M.S. Drilling and Blasting Company Limited","explosives","Drilling and blasting contractor; PACRA ISIC 'Other specialized construction activities'",,,,,,"Incorporated 2024","120241017659","Active","Other specialized construction activities",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BLASTING&SortyBy=entity%20name&Direction=ASC"
"Maxamcorp Zambia Limited","explosives","Zambian entity of MAXAM, the Spanish explosives and blasting-services group. PACRA nature of business 'Manufacture of other chemical products n.e.c.'",,,,"Foreign-owned subsidiary (Spanish parent)","MAXAM Corp Holding S.L. (Spain)",,"120180000370","Active","Manufacture of other chemical products n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registration 15/01/2018.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MAXAM&SortyBy=entity%20name&Direction=ASC"
"Ming Tai Blasting and Construction Limited","explosives","Blasting and construction contractor; PACRA ISIC 'Support activities for other mining and quarrying'",,,,"Chinese-associated name",,"PACRA registration 2018","120180009697","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BLASTING&SortyBy=entity%20name&Direction=ASC"
"Nash Explosives Limited","explosives","Explosives company; PACRA nature of business 'Other manufacturing n.e.c.'",,,,,,"PACRA registration 2006","120060063488","Active","Other manufacturing n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"Orica Zambia Limited","explosives","Zambian arm of Orica, global supplier of commercial explosives, blasting systems and mining chemicals. PACRA nature of business 'Manufacture of other chemical products n.e.c.'",,,,"Foreign-owned subsidiary (Australian parent)","Orica Limited (Australia)",,"119900022027","Active","Manufacture of other chemical products n.e.c.",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registration date 07/11/1990.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=ORICA&SortyBy=entity%20name&Direction=ASC"
"Tropix Explosives Zambia Limited","explosives","Explosives supplier; PACRA nature of business 'Non-specialized wholesale trade'",,,,,,"PACRA registration 2022","120220035315","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EXPLOSIVES&SortyBy=entity%20name&Direction=ASC"
"AFRO MINERAL RESOURCE MINING AND EXPORT COMPANY LIMITED","export_intermediary","Mineral resource mining and export company",,,,,,,"120251027278","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 17/06/2025. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"ALFREGEM MINERAL IMPORT AND EXPORT LIMITED","export_intermediary","Mineral import and export company, gemstone-suggestive name",,,,,,,"120241009415","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 06/07/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"EXPORTEDGE COMMODITIES LIMITED","export_intermediary","Commodities export company, non-specialized wholesale trade",,,,,,,"120241009990","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 15/07/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=COMMODITIES&SortyBy=entity%20name&Direction=ASC"
"GRANEX MINERAL EXPORTS LIMITED","export_intermediary","Mineral exporter classified as wholesale of metals and metal ores",,,,,,,"120251025237","Active","Wholesale of metals and metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 09/05/2025. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"JAFADE MINING AND MINERAL EXPORTS LIMITED","export_intermediary","Mining and mineral export company",,,,,,,"120251021759","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 06/03/2025. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"JOY MINERALS IMPORT AND EXPORT COMPANY LIMITED","export_intermediary","Minerals import and export company",,,,,,,"120251024941","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 05/05/2025. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"KELPA MINERALS EXPORTING LIMITED","export_intermediary","Minerals exporting company",,,,,,,"120241001851","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 07/02/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"NPM METALS AND MINERALS EXPORTS CORPORATION LIMITED","export_intermediary","Metals and minerals export corporation",,,,,,,"120150135441","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 07/09/2015. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"SHAFI MINERAL EXPORTERS LIMITED","export_intermediary","Mineral export company",,,,,,,"120241014904","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 29/10/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"TIMINGS MINERALS IMPORT AND EXPORT LIMITED","export_intermediary","Minerals import and export company",,,,,,,"120180007137","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 27/08/2018. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"TWIZA MINERAL IMPORT AND EXPORT TRADING LIMITED","export_intermediary","Mineral import, export and trading company",,,,,,,"120241015156","Active","Support activities for other mining and quarrying",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 01/11/2024. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"ZENDA MINERS AND EXPORTERS LIMITED","export_intermediary","Mining and mineral export company",,,,,,,"120230046837","Active","Other mining and quarrying n.e.c",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 27/02/2023. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20EXPORT&SortyBy=entity%20name&Direction=ASC"
"Addit Clearing and Forwarding Limited","freight_clearing","Customs clearing and forwarding agent holding a ZRA FULL LICENCE","Lusaka","Lusaka","Lusaka",,,"ZRA FULL LICENCE holder",,,,,,"medium","registry record and/or indirect evidence only","-15.4167","28.2833","town centroid, not a company address","ZRA licensed clearing agents schedule TPIN 1001642056. Address taken from the adjacent column in the ZRA PDF, whose row alignment is imperfect - treat as indicative.","https://www.zra.org.zm/clearing-agents/"
"Africa Global Logistics (Zambia)","freight_clearing","Freight forwarding, customs clearing and multimodal logistics; AGL is the pan-African logistics group formerly trading as Bollore Africa Logistics and is a principal handler of Zambian mineral export cargo","Lusaka","Lusaka","Lusaka","Foreign-owned (AGL group, now MSC-owned)","Africa Global Logistics (AGL)","Holds a ZRA FULL LICENCE as a customs clearing agent",,,,,,"medium","registry record and/or indirect evidence only","-15.4167","28.2833","town centroid, not a company address","ZRA licensed clearing agents schedule TPIN 1001643616. Lusaka PO box and the aglgroup.com corporate email domain both appear in the ZRA schedule; the PDF's column alignment is imperfect so the address is recorded as indicative. No exact-match PACRA record was found under this trading name.","https://www.zra.org.zm/clearing-agents/"
"C. Steinweg Bridge Zambia Limited","freight_clearing","Metals warehousing, forwarding and customs clearing; C. Steinweg is a global base-metals logistics and warehousing group, and the Zambian company handles copper and cobalt cargo",,,,"Foreign-owned (Dutch parent)","C. Steinweg Group (Netherlands)","PACRA registration 16/11/2000; holds a ZRA FULL LICENCE as a customs clearing agent","120000045940","Active","Freight transport by road",,,"high","non-registry source evidences operations",,,,"ZRA licensed clearing agents schedule TPIN 1001668194. A second entity, C. STEINWEG LOGISTICS ZAMBIA LIMITED (120261041832), was registered in February 2026 with ISIC 'Other transportation support activities'.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=STEINWEG&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Cargo Management and Logistics (Z) Limited","freight_clearing","Freight forwarding and customs clearing based in Ndola, the Copperbelt's main freight and inland-port town","Ndola","Ndola","Copperbelt",,,"Holds a ZRA FULL LICENCE as a customs clearing agent",,,,,,"high","non-registry source evidences operations","-12.9587","28.6366","town centroid, not a company address","ZRA licensed clearing agents schedule TPIN 1001664756. Email recorded is a generic company mailbox, not a personal address.","https://www.zra.org.zm/clearing-agents/"
"DSV Air and Sea Limited","freight_clearing","Zambian company of DSV, the global freight forwarding group; air, sea and road forwarding plus customs clearing, including project cargo for mining",,,,"Foreign-owned (Danish parent)","DSV A/S (Denmark)","PACRA registration 22/01/1986; holds a ZRA FULL LICENCE","119860014510","Active","Freight transport by road",,,"high","non-registry source evidences operations",,,,"ZRA licensed clearing agents schedule TPIN 1001750361. A related foreign registration, DSV ROAD HOLDING A/S, also appears on PACRA.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=DSV&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Esse Clearing Limited","freight_clearing","Customs clearing and forwarding agent holding a ZRA FULL LICENCE",,,,,,"ZRA FULL LICENCE holder",,,,,,"medium","registry record and/or indirect evidence only",,,,"ZRA licensed clearing agents schedule TPIN 1001686517.","https://www.zra.org.zm/clearing-agents/"
"Global Logistics Limited","freight_clearing","Freight forwarding and customs clearing company; long-standing PACRA registration and a ZRA FULL LICENCE",,,,,,"PACRA registration 1998; holds a ZRA FULL LICENCE","119980041267","Active",,,,"medium","registry record and/or indirect evidence only",,,,"ZRA licensed clearing agents schedule TPIN 1001695475.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=LOGISTICS&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Grindrod Logistics (Zambia)","freight_clearing","Zambian operation of Grindrod, the southern African port, rail and bulk-commodity logistics group whose Zambian business centres on mineral export freight","Lusaka","Lusaka","Lusaka","Foreign-owned (South African parent)","Grindrod Limited (South Africa)",,,,,,,"medium","registry record and/or indirect evidence only","-15.4167","28.2833","town centroid, not a company address","Presence evidenced by a grindrod.com corporate email domain and a Lusaka PO box appearing in the ZRA licensed clearing agents schedule. The PDF's column alignment prevented matching the row to an exact registered company name, so the entity name here is the trading identity rather than a confirmed registered name. No PACRA match was found under 'GRINDROD'.","https://www.zra.org.zm/clearing-agents/"
"Hill and Delamain Zambia Limited","freight_clearing","Long-established Zambian freight forwarding and customs clearing house; PACRA ISIC 'Freight transport by road'",,,,"Foreign-linked regional forwarding group","Hill & Delamain","PACRA registration 11/04/1968 - among the oldest active forwarders on the register; holds a ZRA FULL LICENCE","119680004861","Active","Freight transport by road",,,"high","non-registry source evidences operations",,,,"ZRA licensed clearing agents schedule TPIN 1001630844.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=HILL%20AND%20DELAMAIN&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Impala Terminals Zambia Limited","freight_clearing","Metals and minerals logistics: terminal handling, warehousing and freight forwarding for copper and cobalt cargo; Impala Terminals is the logistics arm associated with the Trafigura commodity trading group",,,,"Foreign-owned (Impala Terminals / Trafigura group)","Impala Terminals Group","PACRA registration 25/01/2008; holds a ZRA FULL LICENCE as a customs clearing agent (the highest of the three licence tiers)","120080070728","Active","Freight transport by road",,,"high","non-registry source evidences operations",,,,"ZRA licensed clearing agents schedule TPIN 1001902047. Squarely a mineral-cargo logistics business rather than a general forwarder.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=IMPALA%20TERMINALS&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Kapchi Capital Mining Import and Export Clearing","freight_clearing","Customs clearing agent whose registered name declares a mining import/export focus; ZRA licence type 'Final clearance only'",,,,,,"ZRA 'Final clearance only' licence",,,,,,"medium","registry record and/or indirect evidence only",,,,"ZRA licensed clearing agents schedule TPIN 1002081245. One of very few agents on the schedule whose name explicitly names mining cargo.","https://www.zra.org.zm/clearing-agents/"
"Manica Zambia Limited","freight_clearing","Long-established freight forwarding, customs clearing and project-cargo company; Manica is one of the traditional clearing agents on the Zambian mineral export and mine import routes",,,,"Foreign-linked regional freight group","Manica Africa","PACRA registration 19/08/1963 (entity number 2609, one of the oldest numbers on the register)","2609","Active",,,,"high","non-registry source evidences operations",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MANICA&SortyBy=entity%20name&Direction=ASC"
"Nectar Freight Limited","freight_clearing","Freight forwarding and customs clearing; the Nectar group is a bulk-commodity handling and stevedoring specialist. PACRA ISIC 'Freight transport by road'",,,,"Foreign-linked bulk-handling group","Nectar Group","PACRA registration 10/09/2004; holds a ZRA FULL LICENCE","120040056405","Active","Freight transport by road",,,"medium","registry record and/or indirect evidence only",,,,"ZRA licensed clearing agents schedule TPIN 1001768294. Parent attribution is from brand identity, not the register.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=NECTAR%20FREIGHT&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Principal Freight Limited","freight_clearing","Freight forwarding and customs clearing; PACRA nature of business 'Non-specialized wholesale trade'",,,,,,"PACRA registration 27/08/2020; holds a ZRA FULL LICENCE","120200006948","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"ZRA licensed clearing agents schedule TPIN 2964662053. A related PRINCIPAL LOGISTICS LIMITED (120200006533) is also Active on PACRA.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=PRINCIPAL%20FREIGHT&SortyBy=entity%20name&Direction=ASC | https://www.zra.org.zm/clearing-agents/"
"Sun-Line International Logistics Company (Z) Limited","freight_clearing","Freight forwarding and customs clearing operating from the Chambishi economic zone, the Copperbelt hub for Chinese-owned smelting and processing plant","Chambishi","Kalulushi","Copperbelt","Chinese-associated name",,"Holds a ZRA FULL LICENCE as a customs clearing agent",,,,,,"high","non-registry source evidences operations","-12.65","28.05","town centroid, not a company address","ZRA licensed clearing agents schedule TPIN 2161404394. Siting inside the Chambishi zone is the mineral-cargo signal.","https://www.zra.org.zm/clearing-agents/"
"EMERALD FIELD LIMITED","gemstone_dealer","Emerald company, non-ferrous metal ores class",,,,,,,"120200002011","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 10/03/2020. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EMERALD&SortyBy=entity%20name&Direction=ASC"
"EMERALD INTERNATIONAL LIMITED","gemstone_dealer","Emerald trading company, non-specialized wholesale trade",,,,,,,"120180006363","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 01/08/2018. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EMERALD&SortyBy=entity%20name&Direction=ASC"
"EMERALDIA INVESTMENTS LIMITED","gemstone_dealer","Emerald investment and wholesale trading company",,,,,,,"120220029430","Active","Non-specialized wholesale trade",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 07/03/2022. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=EMERALD&SortyBy=entity%20name&Direction=ASC"
